id,ts,actor_id,actor_tipo,ip_address,accion,entidad,entidad_id,antes,despues,extra,exito
1,2025-11-03 18:44:01,2036,enfermera,83.52.67.121,page_view,Enfermeras,2036,,,"{""page"":""enfermera.php""}",1
2,2025-11-03 18:44:06,2036,enfermera,83.52.67.121,open,Pacientes,171,,,"{""page"":""ver_paciente.php""}",1
3,2025-11-03 18:50:07,2036,enfermera,83.52.67.121,page_view,Enfermeras,2036,,,"{""page"":""enfermera.php""}",1
4,2025-11-03 18:50:11,2036,enfermera,83.52.67.121,open,Pacientes,157,,,"{""page"":""ver_paciente.php""}",1
5,2025-11-03 18:50:13,2036,enfermera,83.52.67.121,page_view,Pacientes,157,,,"{""page"":""grafico_dia.php"",""g"":0,""dias"":7}",1
6,2025-11-03 18:50:36,2036,enfermera,83.52.67.121,page_view,Pacientes,157,,,"{""page"":""grafico_dia.php"",""g"":1,""dias"":7}",1
7,2025-11-03 18:50:48,2036,enfermera,83.52.67.121,page_view,Pacientes,157,,,"{""page"":""grafico_dia.php"",""g"":1,""dias"":9999}",1
8,2025-11-03 19:04:02,2036,enfermera,83.52.67.121,export_csv_request,Pacientes,157,,,"{""desde"":null,""hasta"":null,""filename"":""medidas_paciente_157.csv""}",1
9,2025-11-03 19:04:07,2036,enfermera,83.52.67.121,export_pdf_request,157,157,,,"{""page"":""generar_informe.php"",""paciente"":""aprueba953""}",1
10,2025-11-03 19:09:39,2036,enfermera,83.52.67.121,page_view,Pacientes,157,,,"{""page"":""grafico_dia.php"",""g"":1,""dias"":7}",1
11,2025-11-03 19:12:11,2036,enfermera,83.52.67.121,page_view,Pacientes,157,,,"{""page"":""verintervenciones.php""}",1
12,2025-11-03 19:20:27,2036,enfermera,83.52.67.121,page_view,Admin,2036,,,"{""page"":""admin_secretaria.php"",""rol"":30,""id_centro"":1}",1
13,2025-11-03 19:32:51,2036,enfermera,83.52.67.121,page_view,Admin,admin_nuevo,,,"{""page"":""admin_nuevo.php""}",1
14,2025-11-03 19:33:01,2036,enfermera,83.52.67.121,page_view,Admin,admin_nuevo,,,"{""page"":""admin_nuevo.php""}",1
